# INSTR                     LINE        INTS    INTS_ERR
    EIS          Fe VIII 185.213       32.11        0.06
    EIS             Fe X 184.536       69.92        0.11
    EIS            Fe XI 180.401      130.46        0.25
    EIS            Fe XI 188.216       57.13        0.06
    EIS           Fe XII 192.394        8.48        0.02
    EIS           Fe XII 195.119       31.68        0.04
    EIS          Fe XIII 202.044        5.20        0.03
    EIS          Fe XIII 203.826        3.22        0.03
    EIS            He II 256.317      106.30        0.12
    EIS             O VI 184.117        8.50        0.04
    EIS              S X 264.233        3.94        0.02
    EIS           Si VII 275.368        9.43        0.03
    EIS            Si IX 258.073        0.86        0.02
    EIS             Si X 258.375       11.45        0.04
    EIS             Si X 261.058        4.07        0.02
    EIS             Si X 271.990        3.68        0.03
    EIS             Si X 277.265        3.14        0.03
